;COD_ESTACION;NOM_ESTACION;FECHA;HORA;SO2;CO;NO;NO2;NOx;O3;PM10;PM2.5;PM1;NH3;C6H6;C7H8;C8H10;Direc.;H.Rel.;Precip.;Pres.;R.Sol.;Ruido;Temp.;UV-B;Veloc.;Veloc.max.;As;BaA;BaP;BbFA;BjFA;BkFA;Cd;DahA;FA;HMN;H2S;IcdP;Ni;Pb;PST
862;3099002;ORIHUELA;2023-01-05;22;3;0,1;5;8;16;8;;;;;;;;229;99;0;1022;0;;5,6;;;;;;;;;;;;;;;;;;
863;3099002;ORIHUELA;2023-01-05;23;3;0,1;5;5;13;5;;;;;;;;220;99;0;1022;0;;4,9;;0,4;;;;;;;;;;;;;;;;
864;3099002;ORIHUELA;2023-01-06;0;3;0,1;4;11;18;6;;;;;;;;222;99;0;1021;0;;5,1;;0,5;;;;;;;;;;;;;;;;
865;3099002;ORIHUELA;2023-01-06;1;3;0,1;6;26;36;2;;;;;;;;225;99;0;1021;0;;5,8;;0,6;;;;;;;;;;;;;;;;
866;3099002;ORIHUELA;2023-01-06;2;3;0,1;10;28;43;2;;;;;;;;233;99;0;1021;0;;5,2;;0,6;;;;;;;;;;;;;;;;
867;3099002;ORIHUELA;2023-01-06;3;3;0,1;7;23;35;2;;;;;;;;237;99;0;1021;0;;5;;0,4;;;;;;;;;;;;;;;;
868;3099002;ORIHUELA;2023-01-06;4;3;0,1;6;17;25;4;;;;;;;;234;99;0;1020;0;;4,7;;0,4;;;;;;;;;;;;;;;;
869;3099002;ORIHUELA;2023-01-06;5;3;0,1;4;8;15;9;;;;;;;;240;99;0;1020;0;;4,5;;0,5;;;;;;;;;;;;;;;;
870;3099002;ORIHUELA;2023-01-06;6;3;0,1;4;4;10;9;;;;;;;;239;99;0;1020;0;;4,1;;0,5;;;;;;;;;;;;;;;;
871;3099002;ORIHUELA;2023-01-06;7;3;0,1;4;5;12;6;;;;;;;;250;99;0;1020;0;;3,6;;0,5;;;;;;;;;;;;;;;;
872;3099002;ORIHUELA;2023-01-06;8;3;0,1;5;5;12;7;;;;;;;;249;99;0;1021;0;;3,4;;0,5;;;;;;;;;;;;;;;;
873;3099002;ORIHUELA;2023-01-06;9;3;0,1;5;3;11;11;;;;;;;;247;99;0;1021;33;;5;;0,8;;;;;;;;;;;;;;;;
874;3099002;ORIHUELA;2023-01-06;10;3;0,1;7;4;13;20;;;;;;;;259;99;0,1;1021;255;;8,2;;2,1;;;;;;;;;;;;;;;;
875;3099002;ORIHUELA;2023-01-06;11;3;0,1;7;5;15;29;;;;;;;;259;89;0;1021;415;;10,5;;3,2;;;;;;;;;;;;;;;;
